abundance,locus_id,gene_symbol,level,wild_AA,mut_AA,psm_count,rate
30.2,PLFEKH_00005,dnaA,2,362,0,21,0
200,PLFEKH_00015,dnaN,3,1081,0,55,0
335,PLFEKH_00025,gyrB,3,8587,13,475,0.00151162790697674
234,PLFEKH_00035,yidB,3,472,0,18,0
167,PLFEKH_00040,yidA,3,1382,1,85,0.000723065798987708
14,PLFEKH_00080,yidR,1,45,0,3,0
195,PLFEKH_00090,ibpA,3,147,0,12,0
3.47,PLFEKH_00100,yidE,1,256,0,16,0
353,PLFEKH_00190,ilvB,3,1290,0,57,0
1.37,PLFEKH_00220,adeD,1,512,0,16,0
196,PLFEKH_00245,nlpA,3,70,0,5,0
22.6,PLFEKH_00275,yicH,1,733,0,47,0
8.37,PLFEKH_00290,recG,1,20,0,2,0
14.6,PLFEKH_00295,trmH,1,192,0,16,0
23.3,PLFEKH_00300,spoT,1,757,0,38,0
1514,PLFEKH_00305,rpoZ,4,99,0,7,0
123,PLFEKH_00310,gmk,2,899,0,71,0
293,PLFEKH_00330,yicC,3,1250,1,77,0.000799360511590727
22.1,PLFEKH_00345,pyrE,1,253,0,16,0
20.8,PLFEKH_00350,slmA,1,70,0,5,0
284,PLFEKH_00355,dut,3,1780,0,60,0
136,PLFEKH_00360,dfp,3,3794,0,159,0
4182,PLFEKH_00370,rpmB,4,301,2,31,0.0066006600660066
2527,PLFEKH_00375,rpmG,4,418,1,31,0.00238663484486874
49.3,PLFEKH_00385,coaD,2,100,0,5,0
5.52,PLFEKH_00395,waaQ,1,560,0,20,0
3.28,PLFEKH_00400,waaG,1,95,0,8,0
7.27,PLFEKH_00430,waaY,1,30,0,3,0
10.5,PLFEKH_00440,waaU,1,150,0,15,0
1.34,PLFEKH_00450,waaC,1,72,0,6,0
6.23,PLFEKH_00455,waaF,1,642,0,34,0
790,PLFEKH_00460,hldD,4,5041,9,347,0.00178217821782178
8.44,PLFEKH_00465,yibB,1,222,0,16,0
231,PLFEKH_00470,kbl,3,4071,12,231,0.00293901542983101
156,PLFEKH_00475,tdh,3,4002,10,210,0.00249252243270189
526,PLFEKH_00495,gpmM,4,7072,29,302,0.00408393184058583
465,PLFEKH_00500,yibN,4,989,2,69,0.00201816347124117
803,PLFEKH_00505,grxC,4,1253,1,65,0.000797448165869218
2107,PLFEKH_00510,secB,4,2762,12,112,0.00432588320115357
128,PLFEKH_00515,gpsA,3,3705,4,152,0.00107845780533837
131,PLFEKH_00520,cysE,3,288,0,27,0
89.2,PLFEKH_00530,lldD,2,1852,0,101,0
303,PLFEKH_00545,yibL,3,102,0,8,0
383,PLFEKH_00560,mtlD,3,8471,10,402,0.001179106237472
226,PLFEKH_00565,mtlA,3,3959,3,188,0.000757193336698637
15.9,PLFEKH_00605,selA,1,1339,0,91,0
35.2,PLFEKH_00610,selB,2,1031,8,63,0.00769971126082772
834,PLFEKH_00620,aldB,4,609,0,21,0
25,PLFEKH_00695,yiaJ,2,255,0,15,0
42.1,PLFEKH_00710,avtA,2,602,1,47,0.00165837479270315
206,PLFEKH_00745,xylF,3,243,0,11,0
1.96,PLFEKH_00755,xylB,1,168,0,8,0
439,PLFEKH_00780,glyQ,3,2750,5,160,0.00181488203266788
756,PLFEKH_00785,glyS,4,15896,26,930,0.00163296068333124
813,PLFEKH_00815,cspA,4,383,0,21,0
312,PLFEKH_00825,yiaF,3,2012,4,103,0.00198412698412698
450,PLFEKH_00830,ghrB,4,2778,2,145,0.000719424460431655
83.5,PLFEKH_00835,yiaD,2,1994,2,77,0.00100200400801603
2354,PLFEKH_00880,dppA,4,3236,3,162,0.000926211793763507
70.5,PLFEKH_00975,dctA,2,136,0,8,0
99.7,PLFEKH_00980,yhjJ,2,1753,0,94,0
165,PLFEKH_00985,kdgK,3,2105,3,97,0.00142314990512334
69,PLFEKH_01025,yhjA,2,84,0,6,0
1699,PLFEKH_01030,gadA,4,260,0,20,0
10.7,PLFEKH_01050,mdtF,1,1306,0,65,0
45.3,PLFEKH_01055,mdtE,2,3068,1,155,0.000325839035516455
5773,PLFEKH_01080,hdeA,4,2186,8,74,0.00364630811303555
1401,PLFEKH_01085,hdeB,4,594,3,37,0.0050251256281407
602,PLFEKH_01100,slp,4,2709,6,122,0.00220994475138122
185,PLFEKH_01145,gor,3,3545,3,152,0.00084554678692221
25.6,PLFEKH_01150,rlmJ,2,453,0,32,0
417,PLFEKH_01155,prlC,3,3850,6,247,0.00155601659751037
45935,PLFEKH_01175,uspA,4,8596,11,292,0.00127802951086325
55.8,PLFEKH_01190,pitA,2,476,0,22,0
69.9,PLFEKH_01220,yhiI,2,205,2,18,0.00966183574879227
56.5,PLFEKH_01255,nikR,2,300,0,16,0
4.81,PLFEKH_01260,nikE,1,383,0,24,0
1.03,PLFEKH_01265,nikD,1,866,0,47,0
7.17,PLFEKH_01280,nikA,1,5333,3,250,0.000562218890554723
315,PLFEKH_01300,dcrB,3,1194,2,60,0.00167224080267559
31.9,PLFEKH_01315,zntA,2,2350,3,106,0.00127496812579685
294,PLFEKH_01340,ftsY,3,3762,5,235,0.00132731616671091
156,PLFEKH_01345,ftsE,3,1246,0,56,0
33.9,PLFEKH_01350,ftsX,2,260,0,10,0
23.9,PLFEKH_01365,panM,1,363,0,27,0
430,PLFEKH_01395,ugpB,3,952,2,54,0.00209643605870021
41.8,PLFEKH_01415,ugpQ,2,797,2,31,0.00250312891113892
106,PLFEKH_01470,yhhX,2,861,0,48,0
158,PLFEKH_01475,yhhW,3,22,0,2,0
86.4,PLFEKH_01480,gntR,2,1051,0,59,0
1717,PLFEKH_01500,asd,4,5501,14,221,0.00253853127833182
75.9,PLFEKH_01510,glgB,2,404,1,29,0.00246913580246914
15.1,PLFEKH_01515,glgX,1,240,0,12,0
296,PLFEKH_01520,glgC,3,2304,0,132,0
303,PLFEKH_01525,glgA,3,1630,0,106,0
130,PLFEKH_01530,glgP,3,2674,0,111,0
674,PLFEKH_01540,glpD,4,10344,10,601,0.000965810314854163
53.8,PLFEKH_01575,malT,2,758,0,43,0
179,PLFEKH_01580,malP,3,7491,8,432,0.00106680890785438
14.6,PLFEKH_01585,malQ,1,1813,1,86,0.000551267916207277
903,PLFEKH_01595,nfuA,4,1520,0,101,0
27,PLFEKH_01605,bioH,2,892,0,47,0
119,PLFEKH_01630,yhgF,2,3394,3,179,0.000883132175448925
497,PLFEKH_01640,ompR,4,1332,5,85,0.0037397157816006
4.54,PLFEKH_01645,envZ,1,116,5,5,0.0413223140495868
1219,PLFEKH_01650,pck,4,20376,145,1005,0.0070659324594318
276,PLFEKH_01660,hslO,3,2314,1,122,0.000431965442764579
5.91,PLFEKH_01670,yrfG,1,75,0,5,0
5.07,PLFEKH_01675,yrfF,1,66,2,2,0.0294117647058823
37.8,PLFEKH_01680,nudE,2,462,0,21,0
6.16,PLFEKH_01685,mrcA,1,560,5,27,0.00884955752212389
203,PLFEKH_01715,aroK,3,1037,0,75,0
171,PLFEKH_01720,aroB,3,2309,0,127,0
175,PLFEKH_01725,damX,3,341,1,18,0.00292397660818713
591,PLFEKH_01735,rpe,4,3341,0,140,0
140,PLFEKH_01740,gph,3,885,0,42,0
631,PLFEKH_01745,trpS,4,4103,3,219,0.000730638090599123
14,PLFEKH_01820,cysG,1,701,2,39,0.00284495021337127
0.21,PLFEKH_01830,nirD,1,59,1,4,0.0166666666666667
21.4,PLFEKH_01835,nirB,1,1240,0,77,0
723,PLFEKH_01845,ppiA,4,2732,3,114,0.00109689213893967
57.4,PLFEKH_01855,fic,2,23,1,1,0.0416666666666667
329,PLFEKH_01870,argD,3,441,0,22,0
1133,PLFEKH_01880,crp,4,2224,6,189,0.00269058295964126
172,PLFEKH_01885,yhfA,3,22,0,2,0
34.5,PLFEKH_01890,prkB,2,60,0,4,0
21.9,PLFEKH_01905,yheS,1,1230,2,82,0.00162337662337662
1323,PLFEKH_01925,slyD,4,3179,4,132,0.00125667609173736
729,PLFEKH_01935,fkpA,4,4662,8,268,0.00171306209850107
237,PLFEKH_01940,yheO,3,390,0,24,0
21.3,PLFEKH_01945,tusD,1,464,0,16,0
2492,PLFEKH_01960,rpsL,4,1491,7,92,0.00467289719626168
5543,PLFEKH_01965,rpsG,4,3778,11,254,0.00290314067036157
3698,PLFEKH_01970,fusA,4,40219,108,1825,0.00267810647952984
10296,PLFEKH_01975,tufA,4,64526,570,3264,0.00875629839007005
1015,PLFEKH_01990,bfr,4,283,2,19,0.00701754385964912
3843,PLFEKH_02065,rpsJ,4,2073,0,156,0
3328,PLFEKH_02070,rplC,4,7243,44,381,0.00603815013036915
3240,PLFEKH_02075,rplD,4,4939,19,248,0.00383219039935458
1038,PLFEKH_02080,rplW,4,226,0,20,0
4159,PLFEKH_02085,rplB,4,4890,17,310,0.00346443855716324
2580,PLFEKH_02090,rpsS,4,2311,4,168,0.00172786177105832
5469,PLFEKH_02095,rplV,4,4849,3,274,0.000618301731244847
4539,PLFEKH_02100,rpsC,4,5340,23,331,0.00428864441543912
2804,PLFEKH_02105,rplP,4,2005,19,133,0.00938735177865613
3482,PLFEKH_02110,rpmC,4,576,0,40,0
1834,PLFEKH_02115,rpsQ,4,1348,0,68,0
3455,PLFEKH_02120,rplN,4,2609,5,157,0.00191277735271614
3445,PLFEKH_02125,rplX,4,2902,6,195,0.00206327372764787
4001,PLFEKH_02130,rplE,4,7177,20,429,0.00277893566763929
3871,PLFEKH_02135,rpsN,4,661,0,47,0
2692,PLFEKH_02140,rpsH,4,2276,1,113,0.000439174352217831
4110,PLFEKH_02145,rplF,4,6555,7,333,0.0010667479427004
3768,PLFEKH_02150,rplR,4,1260,5,86,0.00395256916996047
5130,PLFEKH_02155,rpsE,4,5287,2,313,0.000378143316316884
2808,PLFEKH_02160,rpmD,4,1248,4,107,0.00319488817891374
3470,PLFEKH_02165,rplO,4,1509,4,124,0.00264375413086583
244,PLFEKH_02170,secY,3,518,0,31,0
4873,PLFEKH_02180,rpsM,4,3495,5,200,0.00142857142857143
2323,PLFEKH_02185,rpsK,4,1088,1,63,0.000918273645546373
4591,PLFEKH_02190,rpsD,4,8271,13,518,0.00156929019797199
1905,PLFEKH_02195,rpoA,4,12926,8,668,0.000618524818308335
4028,PLFEKH_02200,rplQ,4,2092,4,149,0.00190839694656489
213,PLFEKH_02220,mscL,3,1103,1,51,0.000905797101449275
21.7,PLFEKH_02225,trkA,1,208,1,13,0.00478468899521531
45,PLFEKH_02230,rsmB,2,994,1,55,0.00100502512562814
185,PLFEKH_02235,fmt,3,4059,1,191,0.000246305418719212
252,PLFEKH_02240,def,3,806,1,59,0.00123915737298637
98.7,PLFEKH_02260,tsaC,2,403,0,26,0
42.8,PLFEKH_02265,aroE,2,1042,0,57,0
175,PLFEKH_02275,yrdA,3,1979,2,112,0.00100959111559818
387,PLFEKH_02380,fis,3,288,0,12,0
111,PLFEKH_02390,prmA,2,969,0,57,0
0.54,PLFEKH_02395,panF,1,114,0,6,0
