ecol_01wt,sent
PLFEKH_00005,NP_462738.1
PLFEKH_00015,NP_462737.1
PLFEKH_00020,NP_462736.1
PLFEKH_00025,NP_462735.1
PLFEKH_00040,NP_462731.1
PLFEKH_00050,NP_462730.1
PLFEKH_00055,NP_462729.1
PLFEKH_00065,NP_462728.1
PLFEKH_00070,NP_462727.1
PLFEKH_00080,NP_462711.1
PLFEKH_00090,NP_462709.3
PLFEKH_00095,NP_462708.3
PLFEKH_00100,NP_462707.1
PLFEKH_00135,NP_460100.1
PLFEKH_00150,NP_462706.1
PLFEKH_00155,NP_462705.1
PLFEKH_00160,NP_462704.1
PLFEKH_00165,NP_462699.1
PLFEKH_00175,NP_453107.1
PLFEKH_00185,NP_462696.1
PLFEKH_00190,NP_462695.1
PLFEKH_00195,NP_462694.1
PLFEKH_00200,NP_462689.1
PLFEKH_00205,NP_462688.1
PLFEKH_00210,NP_462687.1
PLFEKH_00215,NP_462686.1
PLFEKH_00230,NP_462685.1
PLFEKH_00235,NP_462675.1
PLFEKH_00240,NP_462673.1
PLFEKH_00250,NP_462664.1
PLFEKH_00265,NP_462650.1
PLFEKH_00270,NP_462649.1
PLFEKH_00275,NP_462648.1
PLFEKH_00285,NP_462646.1
PLFEKH_00290,NP_462644.1
PLFEKH_00295,NP_462643.1
PLFEKH_00300,NP_462642.1
PLFEKH_00305,NP_462641.1
PLFEKH_00315,NP_462639.1
PLFEKH_00320,NP_462638.1
PLFEKH_00330,NP_462635.1
PLFEKH_00335,NP_462634.1
PLFEKH_00345,NP_462633.1
PLFEKH_00350,NP_462632.1
PLFEKH_00355,NP_462631.1
PLFEKH_00360,NP_462630.3
PLFEKH_00365,NP_462629.1
PLFEKH_00370,NP_462628.1
PLFEKH_00375,NP_462627.1
PLFEKH_00380,NP_462626.1
PLFEKH_00385,NP_462625.1
PLFEKH_00390,NP_462624.1
PLFEKH_00395,NP_462623.1
PLFEKH_00400,NP_462622.1
PLFEKH_00405,NP_462621.1
PLFEKH_00415,NP_462619.1
PLFEKH_00420,NP_462618.1
PLFEKH_00425,NP_462617.1
PLFEKH_00430,NP_462616.1
PLFEKH_00435,NP_462615.1
PLFEKH_00450,NP_462612.1
PLFEKH_00455,NP_462611.1
PLFEKH_00460,NP_462610.1
PLFEKH_00470,NP_462609.1
PLFEKH_00480,NP_462607.1
PLFEKH_00485,NP_462606.1
PLFEKH_00490,NP_462605.1
PLFEKH_00495,NP_462604.1
PLFEKH_00500,NP_462603.1
PLFEKH_00505,NP_462602.1
PLFEKH_00510,NP_462601.1
PLFEKH_00515,NP_462600.1
PLFEKH_00520,NP_462599.1
PLFEKH_00525,NP_462595.1
PLFEKH_00530,NP_462594.1
PLFEKH_00535,NP_462593.1
PLFEKH_00545,NP_462589.1
PLFEKH_00550,NP_462588.1
PLFEKH_00555,NP_462587.1
PLFEKH_00560,NP_462586.1
PLFEKH_00565,NP_462585.1
PLFEKH_00600,NP_462584.1
PLFEKH_00605,NP_462583.1
PLFEKH_00610,NP_462582.1
PLFEKH_00615,NP_462925.1
PLFEKH_00620,NP_462580.1
PLFEKH_00650,NP_462577.1
PLFEKH_00655,NP_462576.1
PLFEKH_00660,NP_462575.1
PLFEKH_00665,NP_462574.1
PLFEKH_00670,NP_462573.1
PLFEKH_00675,NP_462572.1
PLFEKH_00680,NP_462571.1
PLFEKH_00685,NP_462569.1
PLFEKH_00690,NP_462568.1
PLFEKH_00695,NP_462567.1
PLFEKH_00710,NP_462565.1
PLFEKH_00715,NP_462564.1
PLFEKH_00725,NP_462563.1
PLFEKH_00730,NP_462562.1
PLFEKH_00750,NP_462561.1
PLFEKH_00755,NP_462560.1
PLFEKH_00770,NP_462558.1
PLFEKH_00775,NP_462557.1
PLFEKH_00780,NP_462556.1
PLFEKH_00785,NP_462555.1
PLFEKH_00820,NP_462549.1
PLFEKH_00825,NP_462548.1
PLFEKH_00830,NP_462547.1
PLFEKH_00835,NP_462546.1
PLFEKH_00845,NP_462544.1
PLFEKH_00850,NP_462543.1
PLFEKH_00855,NP_462542.1
PLFEKH_00860,NP_461509.1
PLFEKH_00865,NP_462536.1
PLFEKH_00895,NP_462530.1
PLFEKH_00900,NP_462529.1
PLFEKH_00910,NP_462527.1
PLFEKH_00925,NP_462525.1
PLFEKH_00930,NP_462524.1
PLFEKH_00935,NP_462523.1
PLFEKH_00940,NP_462522.1
PLFEKH_00945,NP_462521.1
PLFEKH_00950,NP_462520.1
PLFEKH_00955,NP_462519.1
PLFEKH_00960,NP_462518.1
PLFEKH_00965,NP_462517.1
PLFEKH_00970,NP_462516.3
